CustomerID,Lookalikes
C0001,"[('C0120', 0.9383), ('C0192', 0.9031), ('C0181', 0.8957)]"
C0002,"[('C0159', 0.9376), ('C0178', 0.9308), ('C0106', 0.9306)]"
C0003,"[('C0152', 0.8922), ('C0031', 0.8809), ('C0085', 0.8499)]"
C0004,"[('C0113', 0.9197), ('C0104', 0.8905), ('C0165', 0.8471)]"
C0005,"[('C0007', 0.9643), ('C0140', 0.8651), ('C0186', 0.7886)]"
C0006,"[('C0187', 0.7999), ('C0011', 0.754), ('C0158', 0.7457)]"
C0007,"[('C0005', 0.9643), ('C0140', 0.8547), ('C0080', 0.7586)]"
C0008,"[('C0109', 0.9141), ('C0024', 0.8563), ('C0098', 0.8512)]"
C0009,"[('C0198', 0.8218), ('C0062', 0.7446), ('C0119', 0.7133)]"
C0010,"[('C0111', 0.9626), ('C0062', 0.9511), ('C0198', 0.9135)]"
C0011,"[('C0153', 0.8719), ('C0107', 0.7952), ('C0013', 0.7844)]"
C0012,"[('C0113', 0.91), ('C0163', 0.9085), ('C0104', 0.8976)]"
C0013,"[('C0099', 0.9687), ('C0188', 0.9407), ('C0082', 0.8573)]"
C0014,"[('C0060', 0.9859), ('C0199', 0.8914), ('C0172', 0.8144)]"
C0015,"[('C0189', 0.8388), ('C0144', 0.8366), ('C0036', 0.7665)]"
C0016,"[('C0117', 0.8974), ('C0035', 0.7747), ('C0183', 0.7467)]"
C0017,"[('C0075', 0.9357), ('C0179', 0.864), ('C0041', 0.849)]"
C0018,"[('C0122', 0.8787), ('C0068', 0.8641), ('C0183', 0.8445)]"
C0019,"[('C0179', 0.8214), ('C0070', 0.7852), ('C0119', 0.7596)]"
C0020,"[('C0050', 0.8795), ('C0125', 0.8346), ('C0026', 0.8032)]"
